1,0,1,0,2,0,1,0,1,1,0,1,0,1,3,1,1,0,1,0
LOUD,Rensga Esports,KaBuM! e-Sports,Cruzeiro eSports,paiN Gaming,INTZ,Vorax,RED Canids,FURIA Esports,Flamengo Esports,Cruzeiro eSports,INTZ,Vorax,Flamengo Esports,RED Canids,KaBuM! e-Sports,FURIA Esports,Rensga Esports,LOUD,paiN Gaming
"['LOUD', 'Rensga Esports']","['KaBuM! e-Sports', 'Cruzeiro eSports']","['paiN Gaming', 'INTZ']","['Vorax', 'RED Canids']","['FURIA Esports', 'Flamengo Esports']","['Cruzeiro eSports', 'INTZ']","['Vorax', 'Flamengo Esports']","['RED Canids', 'KaBuM! e-Sports']","['FURIA Esports', 'Rensga Esports']","['LOUD', 'paiN Gaming']"
