Semana 1,,Kills Blue,Kills Red,Total de kills,,,
RNG,Bilibili Gaming,11,16,27,,,
Bilibili Gaming,RNG,20,7,27,,,
eStar,TT Gaming,12,17,29,,,
Rare Atom,Team WE,19,11,30,,,
Team WE,Rare Atom,12,18,30,,,
Invictus Gaming,Oh My God,24,6,30,,,
eStar,TT Gaming,17,14,31,,,
LNG Esports,FunPlus Phoenix,12,19,31,,,
LGD Gaming,TT Gaming,14,17,31,,,
Victory Five,EDward Gaming,21,13,34,,,
Bilibili Gaming,Oh My God,8,29,37,,,
Top Esports,FunPlus Phoenix,12,25,37,,,
RNG,Invictus Gaming,29,16,45,,,
,,,,,,,
Semana 6,,,,,,,
TT Gaming,Rare Atom,7,4,11,,"26,1538461538462",
Rare Atom,TT Gaming,12,5,17,,,
Suning,JD Gaming,7,14,21,,,
EDward Gaming,Bilibili Gaming,18,6,24,,7,13
Bilibili Gaming,EDward Gaming,6,19,25,,,
FunPlus Phoenix,Team WE,8,19,27,,"53,84% dos jogos são abaixo de 28,5",
Team WE,eStar,18,9,27,,,
eStar,Team WE,10,19,29,,,
Suning,JD Gaming,13,17,30,,"76% dos jogos são acima de 23,5",
LNG Esports,Top Esports,8,22,30,,,
Team WE,FunPlus Phoenix,20,12,32,,,
Top Esports,LNG Esports,21,11,32,,,
TT Gaming,Rare Atom,16,19,35,,,
